category_id,short_name,name,description,price_small,price_large,small_portion_name,large_portion_name
A,A1,Won Ton Soup with Chicken,chicken-stuffed won tons in clear chicken broth with white meat chicken pieces and a few scallions,2.55,5.00,pint,quart
A,A2,Egg Drop Soup,chicken broth with egg drop,2.25,4.50,pint,quart
A,A3,Chicken Corn Soup,clear chicken broth with creamy corn and egg drop with white meat chicken pieces,2.75,5.50,pint,quart
A,A4,Hot and Sour Soup,"tofu, chicken, mushroom, bamboo shoot, and egg",2.55,5.00,pint,quart
A,A5,Egg Drop with Won Ton Soup,chicken soup with egg drop and won tons,3.00,6.00,pint,quart
A,A6,Chicken Noodle (or Rice) Soup,"clear broth and lo mein noodles or white rice, chicken pieces",2.55,5.00,pint,quart
A,A7,Garden Vegetable Soup,"clear chicken broth with mixed vegetables (carrots, cabbage, baby corn, mushroom, snow peas)",2.55,5.00,pint,quart
A,A8,Garden Vegetable Soup with Tofu,"clear chicken broth with mixed vegetables (carrots, cabbage, baby corn, mushroom, snow peas) with tofu pieces",3.00,6.00,pint,quart
A,A9,Chicken with Garden Vegetable Soup,"clear chicken broth with mixed vegetables (carrots, cabbage, baby corn, mushroom, snow peas) and chicken pieces",3.25,6.40,pint,quart
A,A10,Hong Kong Style Won Ton Soup,"clear chicken broth with carrots, mushrooms, snow peas, and broccoli, and a few pieces of Hong Kong style won tons",4.25,8.50,pint,quart
A,A11,Young Chow Won Ton Soup (for 2),"clear chicken broth with vegetables, veal, chicken, and beef and won tons",,11.95,,
B,B1,Beef Egg Roll,"eggroll with cabbage, carrots and beef",,3.00,,
B,B2,Spring Roll (1),thin wraps with white meat and cabbage,,3.00,,
B,B3,Vegetable Egg Roll (1),cabbage and carrots in eggroll wrappers,,2.25,,
B,B4,Fried Won Ton with Chicken Meat (6),triangle shaped won ton with ground white meat chicken inside,,6.25,,
B,B5,Chicken Toast (4),"ground chicken meat on bread, deep-fried, comes with 4 pieces",,6.25,,
B,B6,Fried Silky Tofu with Special Garlic Sauce,"4 large tofu cubes, breaded and deep-fried, with garlic sauce on the side",,5.95,,
B,B7,Scallion Pancake,dough mixed with scallion and pan-fried,,5.75,,
B,B8,Steamed (or Pan Fried) Chicken Dumplings (6),house-made dough dumpling with chicken,,7.95,,
B,B9,Steamed (or Pan Fried) Vegetable Dumplings (6),"house-made dough dumpling with carrot, mushroom, cellophane noodles, cabbage (6 pieces)",,7.95,,
B,B10,Szechuan Soft Won Ton (8),"soft won tons filled with chicken, with garlic sauce",,8.55,,
B,B11,Chicken in Soothing Lettuce Wraps,"white-meat chicken with mushrooms, green peppers, water chestnuts, carrots sauteed with special house sauce, wrapped in fresh lettuce",,8.90,,
B,B12,Teriyaki Beef (6),6 pieces of beef on skewers with teriyaki sauce,,7.95,,
B,B13,Fried Chicken Wing (6),6 pieces of curry-flavored chicken wings,,4.95,,
B,B14,B.B.Q. Spareribs,marinated grilled roast barbeque ribs,,13.95,,
B,B15,Pu Pu Platter (for 2),"2 spring egg rolls, 2 fried won tons, 2 BBQ ribs, 2 chicken toast, 2 teriyaki beef",,18.95,,
B,B16,Cold Sesame Noodle,Peanut butter sauce and sesame seeds on lo mein noodles ,,6.95,,
SP,SP1,Chinese Scallion Pancake Wrap,"with choice of string bean, string bean chicken, string bean beef, beef onions, moo shu vegetable",,18.95,,
SP,SP2,Teriyaki Chicken,marinated grilled chicken breast with vegetables and lo mein on the side,,18.95,,
SP,SP3,Vegetable Tempura,"assorted vegetables breaded and fried, served with lo mein on the side",,15.95,,
SP,SP4,Orange Chicken and Beef Combo,"white meat chicken and beef, breaded and deep-fried with special house sauce; served with lo mein and vegetables",,19.95,,
SP,SP5,Happy Family,"beef, veal, and chicken sauteed with mixed vegetables in chef's special sauce; lo mein served on the side",,19.95,,
SP,SP6,Grilled Veal,marinated and grilled veal served with vegetables and lo mein on the side,,19.95,,
SP,SP7,Orange Beef,"a few cuts of beef, breaded, deep-fried with sauce containing orange peels; served with lo mein on the side",,19.95,,
SP,SP8,Sesame Beef,"a few cuts of beef, breaded, deep-fried with sauce containing sesame seeds; served with lo mein on the side",,19.95,,
C,C1,Orange Chicken,"chunks of chicken, breaded and deep-fried with sauce containing orange peels; white meat by request: for pint $1 extra, for large $2 extra",10.95,14.95,pint,large
C,C2,General Tso's Chicken,"chunks of chicken, breaded and deep-fried with sauce and scallions; white meat by request: for pint $1 extra, for large $2 extra",10.95,14.95,pint,large
C,C3,White Meat Chicken with String Bean,white meat chicken sauteed with string beans and soy sauce,10.95,14.95,pint,large
C,C4,White Meat Chicken with Eggplant In Garlic Sauce,"white meat chicken, string beans, waterchestnuts, mushrooms, and eggplant, in garlic sauce",10.95,14.95,pint,large
C,C5,Chicken Cashewnuts,"diced chicken with waterchestnuts, green peppers, and celery, and cashewnuts; white meat by request: for pint $1 extra, for large $2 extra",10.95,14.95,pint,large
C,C6,White Meat Chicken with Fresh Vegetables,white meat chicken in a clear white sauce sauteed with mixed vegetables,10.95,14.95,pint,large
C,C7,Sesame Chicken,"chunks of chicken, breaded and deep-fried with a sesame seed sauce",10.95,14.95,pint,large
C,C8,Hunan Chicken,"white meat chicken sauteed with broccoli, mushrooms, and baby corn in Hunan sauce",10.95,14.95,pint,large
C,C9,Szechuan Chicken,"white meat chicken sauteed with carrots, celery, and bean sprouts in Szechuan sauce",10.95,14.95,pint,large
C,C10,Kung Pao Chicken,"diced chicken sauteed with peanuts, and celery in delicious kung pao sauce; white meat by request: for pint $1 extra, for large $2 extra",10.95,14.95,pint,large
C,C11,White Meat Chicken with Garlic Sauce,"chicken sauteed with string beans, mushrooms, and waterchestnuts in garlic sauce",10.95,14.95,pint,large
C,C12,Dry Shredded Chicken,"white meat chicken lightly breaded and fried until crip, then sauteed with celery and carrots in a special chef's sauce",11.95,16.95,pint,large
C,C13,Moo Shu Chicken,"white meat chicken sauteed with shredded cabbage, mushrooms and eggs, then wrapped with pancake and delicious plum sauce",10.95,14.95,pint,large
C,C14,Moo Goo Gau Pan,"white meat chicken sauteed with broccoli, snow peas, mushrooms, and waterchestnuts in a white sauce",10.95,14.95,pint,large
C,C15,Sweet and Sour Chicken,"white meat chicken, breaded and fried with some green pepper, onion, and pineapples",10.95,14.95,pint,large
C,C16,Chicken with Broccoli,white meat chicken sauteed with broccoli in brown sauce,10.95,14.95,pint,large
C,C17,Lemon Chicken,"white meat chicken breaded and fried, served with lemon sauce on the side",11.95,15.95,pint,large
C,C18,Eight Treasure Chicken,"diced chicken sauteed with mushrooms, waterchestnuts, celery, peas, carrots, peanuts, and cahsews in a chef's sauce; white meat by request: for pint $1 extra, for large $2 extra",10.95,14.95,pint,large
C,C19,Salt & Pepper Chicken,"chunks of chicken breaded and fried, the sauteed with green peppers",11.95,15.95,pint,large
